"record_id","atd_device_id","read_date","intersection_name","direction","movement","heavy_vehicle","volume","speed_average","speed_stddev","seconds_in_zone_average","seconds_in_zone_stddev","month","day","year","hour","minute","day_of_week","bin_duration"
"6413f36cd593123547c5069d15a8d488","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","LEFT TURN","false","16","12.438","3.932","33.819","47.864","10","7","2022","18","0","5","900"
"7c61c14bc9d2d182f16e75337479ddea","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","RIGHT TURN","false","8","13.375","3.503","10.362","16.982","10","7","2022","18","0","5","900"
"e369c7e96ec0046aa2d17000409754b8","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","RIGHT TURN","true","1","9.0","0.0","2.0","0.0","10","7","2022","18","0","5","900"
"2bd95b8142c13f021701c032388f4a80","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","THRU","false","7","15.0","8.145","16.543","40.61","10","7","2022","18","0","5","900"
"d9c2a51896a8a103dd9f01c64d262d1b","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","THRU","true","1","11.0","0.0","1.4","0.0","10","7","2022","18","0","5","900"
"1ede2f34f08bee22fcc5c6bd231d54c3","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","LEFT TURN","false","17","13.353","3.463","34.0","58.606","10","7","2022","18","0","5","900"
"ca154a748b4378213d5cfde207659fc4","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","LEFT TURN","true","1","10.0","0.0","1.2","0.0","10","7","2022","18","0","5","900"
"e60c974b2fdd9d99f58bb5becc5ce22c","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","RIGHT TURN","false","12","13.167","1.697","2.775","1.015","10","7","2022","18","0","5","900"
"422c92973eaab6be716312947baa2d39","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","THRU","false","263","42.548","11.754","1.645","5.809","10","7","2022","18","0","5","900"
"e9dedc9f5b752a3f2953e83cb7e5e063","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","THRU","true","36","42.556","14.494","2.306","8.295","10","7","2022","18","0","5","900"
"f6e6c9ffa251651eb3c72cbf46d658e3","6212","2022-10-07T18:00:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","U-TURN","false","6","10.167","1.329","18.8","24.85","10","7","2022","18","0","5","900"
"8134eec7a7ff3ce01122b75b6eba4d77","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","LEFT TURN","false","11","12.273","3.771","58.455","67.557","10","7","2022","18","15","5","900"
"a27612e88daf91d5a3a010dc9ee6bd04","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","LEFT TURN","true","2","30.5","24.749","0.55","0.071","10","7","2022","18","15","5","900"
"9489bdafa60e09ede1058443f964640b","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","RIGHT TURN","false","13","25.0","15.416","1.431","1.463","10","7","2022","18","15","5","900"
"178c8af65301ecd5ed9aa148b8bf451b","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","RIGHT TURN","true","3","23.0","14.799","0.833","0.404","10","7","2022","18","15","5","900"
"f2e3e7e83056574bf920456d532cf89d","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","THRU","false","303","46.726","18.872","3.45","13.373","10","7","2022","18","15","5","900"
"96c33e639e6225e7ce2205a4f6e3f292","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","THRU","true","59","42.593","21.107","5.788","18.038","10","7","2022","18","15","5","900"
"051117ef788ab8c6098be7db2be4da2e","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","U-TURN","false","3","16.667","21.079","56.3","94.397","10","7","2022","18","15","5","900"
"00b65bd7a014ae1e503f011896d6f52e","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","LEFT TURN","false","42","15.881","7.61","20.29","42.411","10","7","2022","18","15","5","900"
"05d67e1448eaf653a3098a0dd5d71971","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","LEFT TURN","true","3","18.667","2.082","3.833","1.041","10","7","2022","18","15","5","900"
"5bc19dfd6a92299e286031c6a2c57ac6","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","RIGHT TURN","false","9","10.889","18.065","19.756","36.272","10","7","2022","18","15","5","900"
"fcd4a08024f9d122932a64dcf38c5cb5","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","RIGHT TURN","true","8","3.625","4.307","18.312","27.386","10","7","2022","18","15","5","900"
"12e18c1397c1506370cfd26839c2e1d8","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","THRU","false","12","15.833","22.914","24.217","53.89","10","7","2022","18","15","5","900"
"bedffd5b91f8b5d0bdb61e988f5cba5a","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","NORTHBOUND","THRU","true","1","9.0","0.0","49.3","0.0","10","7","2022","18","15","5","900"
"be47e5e3a9bba43eae8c66e86521b3b4","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","LEFT TURN","false","14","13.071","5.704","30.207","48.189","10","7","2022","18","15","5","900"
"e1e253b7dc30737e63bc737cd1c26959","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","LEFT TURN","true","1","0.0","0.0","4.3","0.0","10","7","2022","18","15","5","900"
"f2573830ecdb7065e51724d8ba9aa8c2","6212","2022-10-07T18:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","RIGHT TURN","false","6","12.167","3.371","40.8","58.345","10","7","2022","18","15","5","900"
